"Class Group","Student's Gender","Average Course Evaluation Rating","Wishes (tokenized)","Wishes (stemmed)"
"B","Female",4.6364,"notes","note"
"B","Male",4.2727,"improve","improv"
"B","Male",4.2727,"class","class"
"B","Male",4.2727,"engagement","engag"
"B","Male",4.3636,"pass","pass"
"B","Male",4.3636,"flying","fly"
"B","Male",4.3636,"colours","colour"
"B","Male",4.7273,"easier","easier"
"B","Male",4.7273,"read","read"
"B","Male",4.7273,"slides","slide"
"B","Male",4.7273,"cover","cover"
"B","Male",4.8182,"explanation","explan"
"B","Male",4.8182,"class","class"
"B","Male",4.8182,"disscussions","disscuss"
"B","Female",4.8182,"explanation","explan"
"B","Female",4.8182,"simpler","simpler"
"B","Female",4.8182,"terms","term"
"B","Female",4.8182,"activities","activ"
"B","Female",4.8182,"step","step"
"B","Female",4.4545,"netflix","netflix"
"B","Female",4.4545,"watch","watch"
"B","Female",4.4545,"short","short"
"B","Female",4.4545,"youtube","youtub"
"B","Female",4.4545,"videos","video"
"B","Female",4.4545,"explain","explain"
"B","Female",4.4545,"content","content"
"B","Male",4.6364,"recommendation","recommend"
"B","Male",3.9091,"strict","strict"
"B","Female",4.5455,"vocal","vocal"
"B","Female",4.5455,"variation","variat"
"B","Female",4.5455,"lecturer","lectur"
"B","Female",4.5455,"physical","physic"
"B","Female",4.5455,"classes","class"
"B","Female",4.5455,"difficult","difficult"
"B","Female",4.5455,"follow","follow"
"B","Female",4.5455,"voice","voic"
"B","Male",4.3636,"include","includ"
"B","Male",4.3636,"quizes","quiz"
"B","Female",4.3636,"recomendations","recomend"
"B","Male",5,"interactive","interact"
"B","Male",5,"mode","mode"
"B","Male",5,"online","onlin"
"B","Male",5,"classes","class"
"B","Female",5,"lengthy","lengthi"
"B","Female",5,"topics","topic"
"B","Female",5,"students","student"
"B","Female",5,"remember","rememb"
"B","Female",5,"concepts","concept"
"B","Female",4.4545,"assignments","assign"
"B","Male",4,"practical","practic"
"B","Male",4,"sessions","session"
"B","Male",4,"elabotration","elabotr"
"B","Male",4,"labs","lab"
"B","Male",4,"people","peopl"
"B","Male",4,"stuck","stuck"
"B","Male",4,"class","class"
"B","Male",4,"discouraging","discourag"
"B","Male",4.6364,"recommend","recommend"
"B","Male",4.6364,"project","project"
"B","Male",4.6364,"based","base"
"B","Male",4.6364,"evaluation","evalu"
"B","Male",4.6364,"cats","cat"
"B","Male",5,"physical","physic"
"B","Male",5,"classes","class"
"B","Male",5,"teaching","teach"
"B","Male",5,"online","onlin"
"B","Male",5,"physically","physic"
"B","Male",4.7273,"fine","fine"
"B","Female",4,"review","review"
"B","Female",4,"concepts","concept"
"B","Female",4,"tricky","tricki"
"B","Female",4,"semester","semest"
"B","Male",5,"videos","video"
"B","Male",5,"learning","learn"
"C","Male",4.2727,"complex","complex"
"C","Male",4.2727,"slides","slide"
"C","Male",4.4545,"speak","speak"
"C","Male",4.4545,"louder","louder"
"C","Male",4.4545,"audibly","audibli"
"C","Male",4.4545,"physical","physic"
"C","Male",4.4545,"lessons","lesson"
"C","Male",4.1818,"class","class"
"C","Male",4.1818,"engaging","engag"
"C","Male",4.5455,"giving","give"
"C","Male",4.5455,"price","price"
"C","Male",4.5455,"performing","perform"
"C","Male",4.5455,"motivation","motiv"
"C","Male",4.5455,"compete","compet"
"C","Female",4,"notes","note"
"C","Female",4,"shorter","shorter"
"C","Female",4,"hard","hard"
"C","Female",4,"motivation","motiv"
"C","Female",4,"slides","slide"
"C","Male",4.4545,"separate","separ"
"C","Male",4.4545,"slides","slide"
"C","Male",4.4545,"scary","scari"
"C","Male",4.4545,"reading","read"
"C","Male",4.4545,"quiz","quiz"
"C","Male",4.4545,"exam","exam"
"C","Female",4.9091,"recommend","recommend"
"C","Female",4.9091,"formed","form"
"C","Female",4.9091,"encourage","encourag"
"C","Female",4.9091,"students","student"
"C","Female",4.9091,"learning","learn"
"C","Female",4.9091,"concepts","concept"
"C","Male",2.9091,"sliders","slider"
"C","Male",2.9091,"worded","word"
"C","Male",2.9091,"incorporate","incorpor"
"C","Male",2.9091,"diagrams","diagram"
"C","Male",2.9091,"illustrations","illustr"
"C","Male",2.9091,"explain","explain"
"C","Male",2.9091,"concepts","concept"
"C","Male",5,"lecturer","lectur"
"C","Male",5,"speak","speak"
"C","Male",5,"louder","louder"
"C","Male",5,"physical","physic"
"C","Male",5,"class","class"
"C","Male",3.8182,"quiizzes","quiizz"
"C","Female",5,"content","content"
"C","Female",4.4545,"lecture","lectur"
"C","Female",4.4545,"slides","slide"
"C","Female",4.4545,"tiresome","tiresom"
"C","Female",4.4545,"read","read"
"C","Female",4.4545,"recommendableotherwise","recommendableotherwis"
"C","Female",4.8182,"cats","cat"
"C","Female",4.8182,"multiple","multipl"
"C","Female",4.8182,"choices","choic"
"C","Female",4.8182,"assess","assess"
"C","Female",4.8182,"understanding","understand"
"C","Female",4.8182,"concepts","concept"
"C","Female",4.8182,"questions","question"
"C","Female",4.8182,"recall","recal"
"C","Female",4.5455,"review","review"
"C","Female",4.5455,"submissions","submiss"
"C","Female",4.5455,"previous","previou"
"C","Female",4.5455,"labs","lab"
"C","Female",4.6364,"recommendatios","recommendatio"
"C","Male",3.5455,"summarised","summaris"
"C","Male",3.5455,"slides","slide"
"C","Male",3.5455,"notes","note"
"C","Male",4.2727,"recommendation","recommend"
"C","Female",4.8182,"provide","provid"
"C","Female",4.8182,"material","materi"
"C","Female",4.8182,"understand","understand"
"C","Female",4.8182,"concept","concept"
"C","Male",4.4545,"quizzes","quizz"
"C","Male",4.4545,"scored","score"
"C","Male",4.4545,"extremely","extrem"
"C","Male",5,"process","process"
"C","Male",5,"flows","flow"
"C","Male",5,"perfect","perfect"
"C","Male",5,"learning","learn"
"C","Male",5,"experience","experi"
"C","Male",5,"recommend","recommend"
"C","Male",4,"lecture","lectur"
"C","Male",4,"slides","slide"
"C","Male",4,"fast","fast"
"C","Male",4.1818,"time","time"
"C","Male",4.1818,"limit","limit"
"C","Male",4.1818,"quiz","quiz"
"C","Male",4.1818,"increased","increas"
"C","Male",4.1818,"enjoying","enjoi"
"C","Male",4.1818,"unit","unit"
"C","Male",4.9091,"recommendation","recommend"
"C","Male",4.9091,"improve","improv"
"C","Male",4.9091,"teaching","teach"
"C","Male",4.9091,"learning","learn"
"C","Male",4.9091,"unit","unit"
"C","Male",4.9091,"delivered","deliv"
"C","Male",4.9091,"efficient","effici"
"C","Male",4.9091,"optimum","optimum"
"C","Female",4.2727,"notes","note"
"C","Female",4.2727,"slides","slide"
"C","Female",4.2727,"kindly","kindli"
"C","Female",4.2727,"devide","devid"
"C","Female",4.2727,"subtopics","subtop"
"C","Female",4.2727,"slide","slide"
"C","Female",4.2727,"makes","make"
"C","Female",4.2727,"mentally","mental"
"C","Female",4.2727,"descouraged","descourag"
"C","Female",4.2727,"start","start"
"C","Female",4.2727,"fewer","fewer"
"C","Female",4.2727,"task","task"
"C","Female",4.2727,"managable","manag"
"C","Female",4.1818,"supplementary","supplementari"
"C","Female",4.1818,"videos","video"
"C","Female",4.1818,"watch","watch"
"C","Female",4.4545,"explanation","explan"
"C","Female",4.4545,"theory","theori"
"C","Female",4.4545,"concepts","concept"
"C","Female",4.4545,"applied","appli"
"C","Female",4.4545,"labs","lab"
"C","Female",4.4545,"clarification","clarif"
"C","Male",4.3636,"quizzes","quizz"
"C","Male",4.3636,"enhance","enhanc"
"C","Male",4.3636,"understanding","understand"
"C","Male",4.3636,"slides","slide"
"C","Male",4.3636,"alot","alot"
"C","Male",4.3636,"writing","write"
"C","Male",4.3636,"cumbersome","cumbersom"
"C","Male",4.3636,"wordy","wordi"
"C","Male",4.3636,"lecturer","lectur"
"C","Male",4.3636,"understanding","understand"
"C","Male",5,"allowed","allow"
"C","Male",5,"python","python"
"C","Male",5,"specifically","specif"
"C","Female",4.8182,"complaints","complaint"
"C","Female",4.9091,"teaching","teach"
"C","Female",4.9091,"algorithm","algorithm"
