"Class Group","Student's Gender","Average Course Evaluation Rating","Likes (tokenized)","Likes (stemmed)"
"B","Female",4.3636,"notes","note"
"B","Female",4.3636,"amount","amount"
"B","Female",4.3636,"extra","extra"
"B","Female",4.3636,"resources","resourc"
"B","Female",4.3636,"provided","provid"
"B","Female",4.3636,"teacher","teacher"
"B","Female",4.3636,"lend","lend"
"B","Female",4.3636,"helping","help"
"B","Female",4.3636,"hand","hand"
"B","Male",5,"inhtegrating","inhtegr"
"B","Male",5,"ineractive","ineract"
"B","Male",5,"mode","mode"
"B","Male",5,"delivery","deliveri"
"B","Male",5,"labs","lab"
"B","Female",5,"lecturer","lectur"
"B","Female",5,"explains","explain"
"B","Female",5,"concepts","concept"
"B","Female",5,"encourages","encourag"
"B","Female",5,"people","peopl"
"B","Female",5,"engage","engag"
"B","Female",5,"class","class"
"B","Female",5,"participation","particip"
"B","Female",5,"meetings","meet"
"B","Female",5,"student","student"
"B","Female",5,"sets","set"
"B","Female",5,"assistance","assist"
"B","Female",4.4545,"business","busi"
"B","Female",4.4545,"intelligence","intellig"
"B","Female",4.4545,"fascinating","fascin"
"B","Female",4.4545,"unit","unit"
"B","Female",4.4545,"lecturer","lectur"
"B","Female",4.4545,"makes","make"
"B","Female",4.4545,"teaches","teach"
"B","Female",4.4545,"explains","explain"
"B","Female",4.6364,"interactive","interact"
"B","Male",4,"lessons","lesson"
"B","Male",4,"indulging","indulg"
"B","Male",4,"concepts","concept"
"B","Male",4,"explained","explain"
"B","Male",4.9091,"labs","lab"
"B","Male",4.9091,"quizzes","quizz"
"B","Male",4.9091,"helpful","help"
"B","Male",4,"notes","note"
"B","Male",4,"slides","slide"
"B","Male",4.6364,"solve","solv"
"B","Male",4.6364,"real","real"
"B","Male",4.6364,"world","world"
"B","Male",4.6364,"business","busi"
"B","Male",4.6364,"concepts","concept"
"B","Male",4.6364,"taught","taught"
"B","Male",4.6364,"class","class"
"B","Male",5,"lecturer","lectur"
"B","Male",5,"explains","explain"
"B","Male",5,"manner","manner"
"B","Male",5,"makes","make"
"B","Male",5,"easy","easi"
"B","Male",5,"understand","understand"
"B","Male",5,"teacher","teacher"
"B","Male",5,"makes","make"
"B","Male",5,"students","student"
"B","Male",5,"understand","understand"
"B","Male",5,"moves","move"
"B","Male",5,"topic","topic"
"B","Male",5,"questions","question"
"B","Male",5,"perceived","perceiv"
"B","Male",5,"valid","valid"
"B","Male",5,"answered","answer"
"B","Male",4.7273,"reading","read"
"B","Male",4.7273,"notes","note"
"B","Female",5,"concepts","concept"
"B","Female",5,"explained","explain"
"B","Female",5,"lecurer","lecur"
"B","Male",4.6364,"noteslabs","noteslab"
"B","Male",4.4545,"indepth","indepth"
"B","Male",4.4545,"content","content"
"B","Male",4.4545,"topic","topic"
"B","Male",4.4545,"labs","lab"
"B","Male",4.4545,"assignment","assign"
"B","Male",4.4545,"understanding","understand"
"B","Female",4,"labs","lab"
"B","Female",4,"comprehensive","comprehens"
"B","Female",4,"notes","note"
"B","Female",4,"topic","topic"
"B","Male",5,"lecturer","lectur"
"B","Male",5,"passionate","passion"
"B","Male",5,"content","content"
"B","Male",5,"understood","understood"
"C","Male",4.2727,"intuitive","intuit"
"C","Male",4.4545,"multiple","multipl"
"C","Male",4.4545,"resources","resourc"
"C","Male",4.4545,"outline","outlin"
"C","Male",4.1818,"classes","class"
"C","Male",4.1818,"start","start"
"C","Male",4.1818,"time","time"
"C","Male",4.1818,"communcation","communc"
"C","Male",4.1818,"prior","prior"
"C","Male",4.1818,"prepare","prepar"
"C","Male",4.1818,"incoming","incom"
"C","Male",4.1818,"activities","activ"
"C","Male",3.4545,"interactive","interact"
"C","Male",3.4545,"practical","practic"
"C","Male",4.5455,"quizzes","quizz"
"C","Male",4.5455,"helps","help"
"C","Male",4.5455,"gauge","gaug"
"C","Male",4.5455,"understanding","understand"
"C","Male",4.5455,"content","content"
"C","Male",4.5455,"learnt","learnt"
"C","Male",4.5455,"depth","depth"
"C","Male",4.5455,"enhances","enhanc"
"C","Male",4.5455,"deep","deep"
"C","Female",4,"analogies","analogi"
"C","Female",4,"understand","understand"
"C","Female",4,"labs","lab"
"C","Female",4,"simple","simpl"
"C","Male",4.4545,"content","content"
"C","Male",4.4545,"delivered","deliv"
"C","Male",4.4545,"efficient","effici"
"C","Male",4.4545,"manner","manner"
"C","Male",4.4545,"quizzes","quizz"
"C","Male",4.4545,"material","materi"
"C","Male",4.4545,"unit","unit"
"C","Male",4.4545,"easy","easi"
"C","Male",4.4545,"understand","understand"
"C","Female",4.9091,"interactive","interact"
"C","Female",4.9091,"students","student"
"C","Female",4.9091,"opportunity","opportun"
"C","Female",4.9091,"concerns","concern"
"C","Female",4.9091,"understood","understood"
"C","Female",4.9091,"concept","concept"
"C","Female",4.9091,"labs","lab"
"C","Female",4.9091,"class","class"
"C","Female",4.9091,"lecturer","lectur"
"C","Female",4.9091,"helps","help"
"C","Female",4.9091,"understanding","understand"
"C","Male",2.9091,"manuals","manual"
"C","Male",2.9091,"concepts","concept"
"C","Female",4.5455,"highly","highli"
"C","Female",4.5455,"practical","practic"
"C","Female",4.5455,"arranged","arrang"
"C","Female",4.5455,"chronological","chronolog"
"C","Male",5,"notes","note"
"C","Male",5,"planning","plan"
"C","Male",3.8182,"slides","slide"
"C","Male",3.8182,"detailed","detail"
"C","Male",3.8182,"lecturer","lectur"
"C","Male",3.8182,"saves","save"
"C","Male",3.8182,"online","onlin"
"C","Male",3.8182,"recordings","record"
"C","Female",4.9091,"lecturer","lectur"
"C","Female",4.9091,"ensure","ensur"
"C","Female",4.9091,"understand","understand"
"C","Female",5,"organized","organ"
"C","Female",5,"material","materi"
"C","Female",5,"including","includ"
"C","Female",5,"google","googl"
"C","Female",5,"calendar","calendar"
"C","Female",5,"detailed","detail"
"C","Female",5,"assignments","assign"
"C","Female",5,"complex","complex"
"C","Female",5,"understandable","understand"
"C","Female",4.4545,"classes","class"
"C","Female",4.4545,"start","start"
"C","Female",4.4545,"time","time"
"C","Female",4.4545,"content","content"
"C","Female",4.4545,"delivered","deliv"
"C","Female",4.8182,"concepts","concept"
"C","Female",4.8182,"outlined","outlin"
"C","Female",4.8182,"notes","note"
"C","Female",4.8182,"lectures","lectur"
"C","Female",4.8182,"read","read"
"C","Female",4.8182,"ahead","ahead"
"C","Female",4.8182,"lecturer","lectur"
"C","Female",4.8182,"takes","take"
"C","Female",4.8182,"content","content"
"C","Female",4.8182,"answers","answer"
"C","Female",4.8182,"questions","question"
"C","Female",4.8182,"class","class"
"C","Female",4.5455,"practical","practic"
"C","Female",4.5455,"lecturer","lectur"
"C","Female",4.5455,"versed","vers"
"C","Female",4.5455,"content","content"
"C","Female",4.5455,"teaching","teach"
"C","Female",4.6364,"explanation","explan"
"C","Female",4.6364,"concepts","concept"
"C","Female",4.6364,"explanations","explan"
"C","Female",4.6364,"givenmaking","givenmak"
"C","Female",4.6364,"understanding","understand"
"C","Female",4.6364,"easy","easi"
"C","Female",4.6364,"learning","learn"
"C","Female",4.6364,"gradual","gradual"
"C","Female",4.6364,"covers","cover"
"C","Female",4.6364,"scope","scope"
"C","Female",5,"notes","note"
"C","Male",3.5455,"punctuality","punctual"
"C","Male",3.5455,"understanding","understand"
"C","Male",4.2727,"teacher","teacher"
"C","Male",4.2727,"teaching","teach"
"C","Male",4.2727,"lessons","lesson"
"C","Male",4.2727,"easy","easi"
"C","Male",4.2727,"follow","follow"
"C","Female",4.8182,"pace","pace"
"C","Female",4.8182,"topics","topic"
"C","Female",4.8182,"developed","develop"
"C","Male",4.4545,"manuals","manual"
"C","Male",4.4545,"understand","understand"
"C","Male",4.4545,"practical","practic"
"C","Male",4.4545,"aspects","aspect"
"C","Male",4.4545,"quizzes","quizz"
"C","Male",4.4545,"hard","hard"
"C","Male",4.4545,"encourage","encourag"
"C","Male",4.4545,"read","read"
"C","Male",5,"concepts","concept"
"C","Male",5,"learnt","learnt"
"C","Male",5,"expanded","expand"
"C","Male",5,"broadly","broadli"
"C","Male",5,"quiz","quiz"
"C","Male",5,"concept","concept"
"C","Male",5,"check","check"
"C","Male",5,"fine","fine"
"C","Male",5,"readingunderstanding","readingunderstand"
"C","Male",5,"questions","question"
"C","Male",4,"unit","unit"
"C","Male",4,"developed","develop"
"C","Male",4,"understanding","understand"
"C","Male",4,"references","refer"
"C","Male",4,"real","real"
"C","Male",4,"world","world"
"C","Male",4,"scenarios","scenario"
"C","Male",4.1818,"quizes","quiz"
"C","Male",4.1818,"unit","unit"
"C","Male",4.1818,"lecture","lectur"
"C","Male",4.1818,"notes","note"
"C","Male",4.9091,"teaching","teach"
"C","Male",4.9091,"unit","unit"
"C","Male",4.9091,"excellent","excel"
"C","Male",4.9091,"concepts","concept"
"C","Male",4.9091,"explained","explain"
"C","Male",4.9091,"relevant","relev"
"C","Male",4.9091,"businessrelated","businessrel"
"C","Male",4.9091,"examples","exampl"
"C","Male",4.9091,"easier","easier"
"C","Male",4.9091,"understand","understand"
"C","Male",4.9091,"enjoy","enjoi"
"C","Male",4.9091,"learning","learn"
"C","Male",4.9091,"practical","practic"
"C","Male",4.9091,"carry","carri"
"C","Male",4.9091,"algorithms","algorithm"
"C","Male",4.9091,"spreadsheet","spreadsheet"
"C","Male",4.9091,"exciting","excit"
"C","Female",4.2727,"enjoy","enjoi"
"C","Female",4.2727,"teaching","teach"
"C","Female",4.2727,"method","method"
"C","Female",4.2727,"teacher","teacher"
"C","Female",4.2727,"content","content"
"C","Female",4.2727,"explained","explain"
"C","Female",4.3636,"practical","practic"
"C","Female",4.3636,"classes","class"
"C","Female",4.3636,"concepts","concept"
"C","Female",4.3636,"explained","explain"
"C","Female",4.1818,"practical","practic"
"C","Female",4.1818,"labs","lab"
"C","Female",4.1818,"quizzes","quizz"
"C","Female",4.1818,"helpful","help"
"C","Female",4.1818,"understand","understand"
"C","Female",4.1818,"concepts","concept"
"C","Female",4.1818,"lecturer","lectur"
"C","Female",4.1818,"accommodating","accommod"
"C","Female",4.1818,"student","student"
"C","Female",4.1818,"concerns","concern"
"C","Female",4.4545,"lecturer","lectur"
"C","Female",4.4545,"rush","rush"
"C","Female",4.4545,"topics","topic"
"C","Female",4.4545,"makes","make"
"C","Female",4.4545,"understand","understand"
"C","Male",4.3636,"teaching","teach"
"C","Male",4.3636,"detailed","detail"
"C","Male",4.3636,"quizes","quiz"
"C","Male",4.3636,"extremely","extrem"
"C","Male",4.3636,"helpful","help"
"C","Male",4.3636,"guiding","guid"
"C","Male",4.3636,"expect","expect"
"C","Male",4.3636,"cats","cat"
"C","Male",4.3636,"labs","lab"
"C","Male",4.3636,"honest","honest"
"C","Male",4.3636,"unit","unit"
"C","Female",4.5455,"organization","organ"
"C","Male",4.4545,"practical","practic"
"C","Male",4.5455,"notes","note"
"C","Male",4.5455,"elearning","elearn"
"C","Male",4.5455,"labeled","label"
"C","Male",4.5455,"sectioned","section"
"C","Male",4.5455,"easier","easier"
"C","Male",4.5455,"students","student"
"C","Male",4.5455,"understand","understand"
"C","Male",5,"lecturer","lectur"
"C","Male",5,"explains","explain"
"C","Male",5,"concepts","concept"
"C","Male",5,"well2","well2"
"C","Male",5,"manuals","manual"
"C","Male",5,"understanding","understand"
"C","Female",4.8182,"content","content"
"C","Female",4.8182,"explained","explain"
"C","Female",4.8182,"enjoyable","enjoy"
"C","Female",4.8182,"learn","learn"
"C","Female",4.8182,"quick","quick"
"C","Female",4.8182,"relevant","relev"
"C","Female",4.8182,"feedback","feedback"
"C","Female",4.9091,"practical","practic"
"C","Female",4.9091,"focus","focu"
"C","Female",4.9091,"data","data"
"C","Female",4.9091,"create","creat"
"C","Female",4.9091,"positive","posit"
"C","Female",4.9091,"benefits","benefit"
"C","Female",4.9091,"business","busi"
"C","Female",4.9091,"environment","environ"
